,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
mp-1029776,,,,,,,,,,2.53e-06,5.997e-06,1.065e-05,1.81e-05,2.817e-05,3.465e-05,5.244e-05,6.521e-05,8.931e-05,0.0001019,,,,
mp-1029903,,,,,,,,,,,,,,,,4.591e-06,,,,,,,
mp-1078799,,,,,,,,,,,,3.859e-06,,,,,,,,,,,
mp-10814,,,,,,,,,,,,,,,,,,,,,,,
mp-10970,,,,,,,,,,,,,,3.358e-06,7.703e-06,7.257e-06,8.871e-06,8.548e-06,7.971e-06,1.397e-05,1.233e-05,2.465e-05,2.949e-05
mp-1103940,,,,,,,,,,,,,,,,,4.858e-06,9.461e-06,1.469e-05,2.317e-05,3.056e-05,3.95e-05,
mp-1104857,,,,,,,,,,,,,,,4.267e-06,2.838e-06,6.092e-06,7.319e-06,1.156e-05,,,,
mp-1106183,,,,,,4.008e-06,,,,,,,,,,,,,,,,,
mp-11175,,,1.761e-05,,,,,,,,,,,,,,,,,,,,
mp-11189,,,,,,,,,,,,,,,1.973e-06,,,,,,,,
mp-1138,,,,,,,,,,,,,,,,,,,,,,,
mp-1153,,,,,,,2.697e-06,2.771e-05,6.11e-05,,,,,,,,,,,,,,
mp-11582,,,,,1.291e-05,5.504e-05,,,,,,,,,,,,,,,,,
mp-11737,,,,,,,,,,,,,,,4.032e-06,,,,,,,,
mp-1185263,,,,,,,2.094e-06,4.38e-06,1.086e-05,1.795e-05,2.834e-05,4.141e-05,7.03e-05,0.0001013,0.0001235,0.0001504,0.0001563,,,,,,
mp-1185319,,,,,,,,,,,,,,,,,,,,,,,
mp-1188344,,,,,,,,,,,,,,,,,,,,,,,
mp-1188392,,,,,,,,,,,,,,,,,,,,,,,
mp-1189383,,,,,,,,,,,,,,,,,,,,,,,
mp-1189974,,,,,,,,,,,,,,,,,,,,,,,
mp-1190809,,,,,,,,3.757e-06,1.315e-05,3.035e-05,4.988e-05,6.64e-05,7.763e-05,9.589e-05,,,,,,,,,
mp-1191141,,,,,,,,,,,,,,,,,,,,,,,
mp-1192391,,,,,,,,,,,,,,,,,,,,,,,
mp-1193222,,,,,,,,,,,,,,,,,,,2.523e-06,2.762e-06,,,
mp-1193269,,,,,,,,,,,,,,5.847e-06,9.688e-06,2.82e-05,4.797e-05,,,,,,
mp-1194339,,,,,,,,,,,,,,,,,,,,,,,
mp-1194726,,,,,,,,,,,,,,,,,,,,,,,
mp-1194965,,,,,,1.762e-06,1.465e-05,8.312e-06,1.369e-05,2.14e-05,3.57e-05,4.164e-05,6.911e-05,8.396e-05,,,,,,,,,
mp-1195718,,,3.632e-06,1.113e-05,2.371e-05,4.566e-05,,,,,,,,,,,,,,,,,
mp-1195868,,,,,,,,,7.436e-06,1.447e-05,2.307e-05,,,,,,,,,,,,
mp-1196169,,,,,,,,,,,1.07e-05,,,,,,,,,,,,
mp-1196457,,,,,,,,,9.106e-06,5.186e-05,,,,,,,,,,,,,
mp-1196828,,,,,,,,,,,,,,,,,,,,,,,
mp-1196988,,,,,,,,,,,,,,,,,,,,,,,
mp-1198049,,,,,,,2.165e-06,,8.65e-06,1.461e-05,2.271e-05,3.082e-05,4.415e-05,,,,,,,,,,
mp-1198780,,,,,,,,,,,,,,,,,,,,,,,
mp-1199122,,,,,,,,,,,,,4.894e-06,,1.354e-05,,,,,,,,
mp-1200209,,,,,,5.936e-06,5.757e-06,1.161e-05,,8.993e-05,3.037e-05,4.091e-05,3.906e-05,5.671e-05,,,,,,,,,
mp-1200439,,,,,,,,,,,,,,3.742e-06,,,,,,,,,
