,material_id,800,index,formula_pretty_reduced,spacegroup_symbol,fav,fav_tot,298,298_tot,0.2,0.5,0.001,Conductor?
558,mp-7471,0.0,422,Li3AuO3,P4_2/mnm,12.303322140932949,11.333791074912709,3.70229320936287,6.628905221027631,5.4014007288,14.7710723532,0.9937106918238994,False
559,mp-752460,2.564e-05,274,LiAgF4,Pbcn,8.96548934560778,7.972563901789698,3.514801455970765,2.9638334760932272,11.8835461689,11.8835461689,0.983739837398374,True
560,mp-752501,0.0,735,LiSiBiO4,Pnma,9.767517240412923,11.860480565389611,3.4937477948356035,5.719741151452994,5.5667856941,7.0547861636,0.8389830508474576,False
561,mp-752549,,749,LiAgF2,C2/m,10.631826474897434,7.578509559506798,3.715898405791089,8.2883758560889,9.2856474801,9.2856474801,0.8846153846153846,
562,mp-752638,6.863e-06,294,LiCuCO3,Ibca,10.774171990091418,14.5861537355893,3.2696009393222023,4.492534001703666,5.3132556384,13.7506890375,0.8823529411764706,True
563,mp-752767,,736,LiAgF2,C2/m,10.656304965030351,7.593124595355125,3.73929259869148,8.289451261364475,9.2970216432,9.2970216432,0.896774193548387,
564,mp-752768,2.948e-05,83,LiAgF4,I4/mcm,4.414245785038918,7.501218239608106,2.8896104220486665,2.0672896439832558,0.8935450318,3.5717595686,0.9153846153846154,True
565,mp-752882,,434,LiAgF2,Pna2_1,13.319618952680706,7.532205102382554,2.1858143956174074,6.356740740827452,13.6651043571,14.1859266175,0.9477611940298508,
566,mp-752922,0.0,259,Li8HfO6,R-3,13.286805289572094,12.216209072110226,6.315681112455214,8.283890750631763,5.0574634167,10.9038805478,0.9693251533742332,False
567,mp-752927,0.0,406,LiAgF2,P6_3/mmc,10.398434341951283,6.742376613582691,3.831650345807407,8.533362965661649,9.0648754391,9.470765381,1.006578947368421,False
568,mp-753098,0.0,197,LiCuF2,R-3m,11.63764766121613,8.71149303393153,4.297893426663847,9.057034419891162,9.9245842,11.0364670958,0.98125,False
569,mp-753257,0.0,496,LiCuF4,P2_1/c,8.902527191115368,8.733224168916033,4.683310053406829,5.968343825781751,4.2000641001,9.5193971356,0.9316239316239316,False
570,mp-753277,0.0,60,LiAgF2,Pmn2_1,13.11566107788409,7.230965389061668,2.170875359932487,6.844509578429518,13.3802716716,14.8680806218,0.9324324324324323,False
571,mp-753327,0.0,249,LiSiBiO4,Pnma,7.871293355253418,11.032072242518618,3.5553075009743487,4.451329741670801,-2.3890023829,-2.3890023829,0.8702290076335878,False
572,mp-753353,0.0,811,Sr4LiCu(CO5)2,I-42m,10.089717787496296,11.629028392551415,3.4047935949434525,8.551690178982689,10.5548380056,10.5548380056,0.625,False
573,mp-753371,,719,LiCuS,I4/mmm,7.864168555029833,6.2526944497256896,2.35043626277641,5.333744436585399,4.930589606,5.6294195601,0.8914728682170543,
574,mp-753425,,506,LiCuCO3,Cmme,9.265693526547068,15.167849336587896,3.3274505997243407,5.65483260105238,4.509271362,5.8193339995,0.7692307692307693,
575,mp-753520,,804,Li3BiS3,Pna2_1,9.191089224879263,6.862169013620133,3.2302645807467947,6.503884811433336,5.5751759977,10.6260091814,0.9731543624161074,
576,mp-753541,0.0,640,LiCuF4,I4/mcm,5.533104515082901,8.140801503667905,3.3373659751688622,4.304562032582687,3.1054846949,5.2758163413,0.8608695652173913,False
577,mp-753546,0.0,529,Li8TiS6,P6_3cm,9.636262030520037,8.231604849656277,4.98480793571858,7.274943717939237,6.5885748058,7.2882678474,0.9671052631578948,False
578,mp-7535,0.0,257,Li5AlO4,Pmmn,13.008939017565751,12.976003750854629,8.082438167699543,9.338361040164472,5.8075335619,7.8750640622,0.9738562091503268,False
579,mp-753605,,290,LiCuS,Pnma,8.121593106025083,6.466971943182953,2.645836116402776,6.43627673417941,6.4128024976,6.7296235396,0.934640522875817,
580,mp-753677,,412,Li3BiS3,R3c,9.351603811053783,6.867227867366069,3.242993721798093,6.580636927702452,7.2627659163,7.2627659163,0.9448275862068966,
581,mp-753719,0.0,668,SrLiNb2O6F,I-4m2,8.101371331398097,9.826957433113495,3.899267127906657,6.428547930859629,6.2863613847,7.6705308518,0.5838926174496645,False
582,mp-753720,,528,Li3BiS3,R-3,9.34637046050782,6.862048735488737,3.338830125402911,7.234346678175545,7.745075678,10.2234860949,0.9192546583850932,
583,mp-753737,3.813e-06,420,Li3CuS2,P4_2/nmc,9.300772079329748,7.44378243650555,4.786346449563793,6.650213449837947,4.4887837865,4.9260520104,0.9481481481481482,True
584,mp-753748,,140,Li3CuS2,Pmma,10.817828422400524,8.105919253206638,4.677534097719368,8.766714398332189,8.9282530128,8.9282530128,0.9556962025316456,
585,mp-753783,3.365e-06,346,Li5InO4,Pmmn,11.632005689027611,10.62074910741732,3.1911295985242423,4.289569588221979,5.4589858571,5.4589858571,1.0,True
586,mp-753826,0.0,514,LiCuS,P4/nmm,8.280334197894092,6.187042802876993,4.055867472679122,6.9802191345858695,5.7030301147,10.9136210273,0.9383561643835616,False
587,mp-753864,0.0,451,Sr2Li2Nb4O13,I4/mmm,9.855848577730772,8.245717706248993,3.4336941527679987,8.480881336055978,10.6047119614,10.6047119614,0.4388489208633093,False
588,mp-753946,0.0,50,LiCoS2,P-3m1,8.363734289336827,8.18972231102948,6.279999128472137,7.668153215473419,6.9396880081,6.9396880081,0.9210526315789472,False
589,mp-754060,1.069e-05,447,Li7BiO6,R3,12.459706227475149,11.41569350983772,5.7246083985735785,8.321063677190537,5.7933573456,14.2278043873,0.9873417721518988,True
590,mp-754206,0.0,448,LiBi3(ClO2)2,Cmcm,10.613085811156788,7.398010767669723,3.0392968924209303,8.138724513169343,8.2822845101,8.2822845101,0.8493150684931506,False
591,mp-754266,,545,Li8TiS6,R-3,9.761727276211657,8.050385515905514,5.061864790934544,6.7819274214313765,6.3423600316,13.3134886067,0.9936708860759492,
592,mp-754466,0.0,402,Li2AgF3,P-3m1,10.884840584464886,7.68210128293576,4.184819794783351,8.456182025252579,9.0030339912,9.0030339912,0.9548387096774194,False
593,mp-754605,0.0,567,LiLuO2,I4_1/amd,8.619251424853477,9.159915184109355,4.99193460041596,6.226763861746317,4.1393291343,4.3953701211,0.9627329192546584,False
594,mp-754856,0.0,3,Li7Y7ZrS16,P2/m,6.245815932957868,6.055795806214769,4.336146904485257,5.584753664040858,4.3192411711,5.047982706,0.9215686274509804,False
